Default Report,,,
Last Modified: 2018-02-21 06:55:08 MST,,,
,,,
,,,
QID9 - Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,,,
#,Answer,%,Count
2,poor,5.26%,2
3,dark,42.11%,16
4,pretty,34.21%,13
5,adorable,0.00%,0
6,heavy,5.26%,2
7,golden,13.16%,5
8,clever,0.00%,0
,Total,100%,38
,,,
mTurkCode,,,
Answer,%,Count,
11645945,1.28%,1,
13896854,1.28%,1,
15276378,1.28%,1,
15710859,1.28%,1,
17335493,1.28%,1,
19731079,1.28%,1,
20809565,1.28%,1,
22879835,1.28%,1,
26559814,1.28%,1,
27678669,1.28%,1,
28173367,1.28%,1,
29616330,1.28%,1,
30291649,1.28%,1,
31596958,1.28%,1,
31669629,1.28%,1,
31828859,1.28%,1,
32516971,1.28%,1,
33600814,1.28%,1,
34868305,1.28%,1,
35378733,1.28%,1,
35496222,1.28%,1,
35837503,1.28%,1,
38352779,1.28%,1,
39533046,1.28%,1,
40141462,1.28%,1,
40686193,1.28%,1,
41969589,1.28%,1,
44750261,1.28%,1,
45590266,1.28%,1,
46110420,1.28%,1,
47018503,1.28%,1,
47728821,1.28%,1,
48440451,1.28%,1,
49062503,1.28%,1,
51684528,1.28%,1,
51921147,1.28%,1,
53423937,1.28%,1,
53839930,1.28%,1,
59770715,1.28%,1,
59911364,1.28%,1,
60091755,1.28%,1,
61809155,1.28%,1,
62278975,1.28%,1,
62496064,1.28%,1,
63431410,1.28%,1,
64246373,1.28%,1,
67497262,1.28%,1,
67743952,1.28%,1,
68967839,1.28%,1,
70623801,1.28%,1,
71478859,1.28%,1,
72000901,1.28%,1,
72400622,1.28%,1,
72433726,1.28%,1,
73606197,1.28%,1,
73896466,1.28%,1,
74358904,1.28%,1,
74797827,1.28%,1,
75612225,1.28%,1,
76333376,1.28%,1,
77028929,1.28%,1,
77627970,1.28%,1,
80356363,1.28%,1,
81514303,1.28%,1,
81531376,1.28%,1,
83231088,1.28%,1,
85689492,1.28%,1,
86197789,1.28%,1,
86585488,1.28%,1,
87023130,1.28%,1,
90311656,1.28%,1,
91093782,1.28%,1,
91332561,1.28%,1,
92912267,1.28%,1,
95472732,1.28%,1,
96396249,1.28%,1,
97031354,1.28%,1,
98459786,1.28%,1,
Total,100%,78,
