Duration (in seconds),QID9,QID10,QID12,QID13,QID15,QID16,QID18,QID19,QID21,QID22,QID24,QID25,QID27,QID28,QID30,QID31,QID33,QID34,QID36,QID37,QID39,QID40,QID42,QID43,QID45,QID46,QID48,QID49,QID51,QID52,QID54,QID55,QID57,QID58,QID60,QID61,QID63,QID64,QID66,QID67,QID69,QID70,QID72,QID73,QID75,QID76,QID78,QID79,QID81,QID82,QID84,QID85,QID87,QID88,QID90,QID91,QID93,QID94,QID96,QID97,QID99,QID100,QID102,QID103,QID105,QID106,QID108,QID109,QID111,QID112,QID114,QID115,QID117,QID118,QID120,QID121,QID123,QID124,QID126,QID127,QID129,QID130,QID132,QID133,QID135,QID136,QID138,QID139,QID141,QID142,QID144,QID145,QID147,QID148,QID150,QID151,QID153,QID154,QID156,QID157,QID159,QID160,QID162,QID163,QID165,QID166,QID168,QID169,QID171,QID172,QID174,QID175,QID177,QID178,QID180,QID181,QID183,QID184,QID186,QID187,QID189,QID190,QID192,QID193,QID195,QID196,random
1017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cute,1,clean,1,dangerous,1,strong,1,safe,1,successful,1,safe,1,insane,1,fat,1,clever,1,lonely,1,bright,1,,,faithful,1,creepy,1,healthy,1,lonely,1,sleepy,1,clear,1,beautiful,1,funny,1,50412
2372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,adorable,2,clean,2,dangerous,3,comfortable,1,safe,2,successful,2,safe,2,faithful,2,dark,5,weird,2,creepy,3,weird,2,young,5,funny,4,creepy,4,healthy,3,weird,2,,,clear,2,evil,2,funny,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75583
154,cute,4,talented,3,angry,4,comfortable,3,extreme,4,,,safe,3,insane,4,fat,3,difficult,4,healthy,4,bright,3,hurt,2,funny,3,nasty,3,smooth,4,insane,4,dying,3,clear,2,dead,3,funny,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64956
601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,adorable,2,clean,3,dangerous,4,strong,5,extreme,1,bitter,1,safe,3,insane,2,fat,3,clever,2,lonely,2,adorable,3,stunning,3,faithful,2,creepy,2,,,weird,2,sleepy,1,clear,4,beautiful,4,fat,3,77242
380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,adorable,3,clean,2,dangerous,4,strong,4,extreme,1,successful,2,weird,2,lazy,3,jealous,3,clever,2,lonely,2,bright,3,young,1,faithful,3,nasty,1,smooth,2,lonely,3,,,clear,4,beautiful,3,fat,3,97382
141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,adorable,3,clean,4,dangerous,3,comfortable,4,safe,3,successful,3,safe,3,lazy,3,dark,5,difficult,3,creepy,3,weird,"2.5,4",young,4,dumb,4,dark,5,healthy,4,lonely,3,violent,4,clear,4,,,funny,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81085
908,empty,4,clean,4,faithful,5,comfortable,4,safe,4,bitter,4,safe,5,faithful,4,dark,4,difficult,5,lonely,5,bright,4,young,4,dumb,4,dark,4,,,weird,4,sleepy,4,clear,4,dead,3,fat,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54238
701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cute,4,innocent,2,,,comfortable,3,extreme,2,lonely,3,extreme,4,faithful,3,dark,5,difficult,2,lonely,4,bright,1,young,5,dumb,3,dark,5,healthy,4,insane,4,violent,4,clear,4,dead,4,fat,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91197
171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,empty,3,clean,3,dangerous,3,comfortable,3,safe,3,successful,3,safe,3,insane,3,jealous,3,difficult,3,lonely,3,adorable,3,young,3,faithful,3,creepy,3,fancy,3,,,violent,3,clear,3,evil,3,funny,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62897
576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,empty,3,clean,5,dangerous,3,strong,4,evil,2,successful,4,safe,4,faithful,4,jealous,3,weird,1,lonely,2,adorable,5,stunning,2,dumb,4,nasty,4,smooth,3,lonely,4,violent,4,clear,4,,,funny,4,65712
