Duration (in seconds),QID9,QID10,QID12,QID13,QID15,QID16,QID18,QID19,QID21,QID22,QID24,QID25,QID27,QID28,QID30,QID31,QID33,QID34,QID36,QID37,QID39,QID40,QID42,QID43,QID45,QID46,QID48,QID49,QID51,QID52,QID54,QID55,QID57,QID58,QID60,QID61,QID63,QID64,QID66,QID67,QID69,QID70,QID72,QID73,QID75,QID76,QID78,QID79,QID81,QID82,QID84,QID85,QID87,QID88,QID90,QID91,QID93,QID94,QID96,QID97,QID99,QID100,QID102,QID103,QID105,QID106,QID108,QID109,QID111,QID112,QID114,QID115,QID117,QID118,QID120,QID121,QID123,QID124,QID126,QID127,QID129,QID130,QID132,QID133,QID135,QID136,QID138,QID139,QID141,QID142,QID144,QID145,QID147,QID148,QID150,QID151,QID153,QID154,QID156,QID157,QID159,QID160,QID162,QID163,QID165,QID166,QID168,QID169,QID171,QID172,QID174,QID175,QID177,QID178,QID180,QID181,QID183,QID184,QID186,QID187,QID189,QID190,QID192,QID193,QID195,QID196,QID198,QID199,QID201,QID202,QID204,QID205,QID207,QID208,QID210,QID211,QID213,QID214,QID216,QID217,QID219,QID220,QID222,QID223,QID225,QID226,QID228,QID229,QID231,QID232,QID234,QID235,QID237,QID238,QID240,QID241,QID243,QID244,QID246,QID247,QID249,QID250,QID252,QID253,QID255,QID256,QID258,QID259,QID261,QID262,QID264,QID265,QID267,QID268,random
394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,excited,1,talented,2,adorable,3,successful,2,,,cold,3,proud,3,faithful,1,insane,2,excited,3,,,,,healthy,3,bright,1,busy,4,,,healthy,1,strong,1,sexy,1,loud,2,,,christian,3,,,busy,2,young,5,,,,,extreme,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,528382
1300,tired,2,,,clean,1,,,successful,4,safe,4,crazy,2,proud,3,,,,,weak,4,,,dark,3,creepy,3,weird,3,gorgeous,3,,,,,strong,5,funny,1,,,healthy,3,deadly,2,weird,2,ugly,3,stunning,2,dead,1,beautiful,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,809130
371,tired,3,excited,4,innocent,2,,,bitter,3,safe,4,,,,,,,,,weak,3,proud,4,,,lonely,3,bright,2,gorgeous,2,loud,2,healthy,2,strong,4,funny,3,rough,4,fancy,1,deadly,4,lonely,4,busy,3,,,busy,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,976012
252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,insane,3,smooth,4,,,broken,4,,,safe,3,,,,,,,,,excited,4,proud,2,,,creepy,2.5,bright,4,gorgeous,3,dark,3,,,strong,4,,,loud,2,healthy,4,christian,3,lonely,3,strong,4,proud,2,busy,4,beautiful,3,dangerous,4,671561
1071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,violent,3,,,,,,,,,safe,2,,,proud,2,,,insane,2,excited,3,healthy,2,dark,2,healthy,2,adorable,2,busy,4,dark,3,healthy,2,strong,2,funny,3,loud,2,healthy,2,,,weird,2,busy,2,,,busy,2,,,dangerous,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,856817
360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clean,4,,,successful,3,safe,4,cold,4,proud,4,,,faithful,4,excited,4,proud,5,dark,4,healthy,4,bright,4,busy,4,dark,4,healthy,4,strong,4,sexy,3.5,,,,,deadly,4,,,strong,4,,,busy,4,,,extreme,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,656536
467,,,,,clean,4,christian,5,,,safe,5,crazy,3,wicked,3,difficult,5,faithful,4,weak,3,,,fat,2,,,bright,3,,,loud,2,,,strong,5,,,,,healthy,4,deadly,2,lonely,4,ugly,2,stunning,1,nasty,2,dead,5,dangerous,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,794001
421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,violent,5,confused,2,innocent,2,christian,4,lonely,2,,,,,strong,5,difficult,2,,,excited,4,,,,,healthy,2,,,busy,4,,,lazy,3,,,funny,4,loud,4,healthy,5,,,weird,2,busy,3,young,5,dead,3.5,dead,1,expensive,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,959132
157,tired,4,confused,4,clean,4,broken,4,,,,,cold,4,strong,4,faithful,4,faithful,4,,,evil,4,,,healthy,4,,,busy,4,,,healthy,4,ugly,4,holy,4,rough,4,,,,,insane,4,strong,4,proud,4,,,dead,4,dangerous,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,791201
352,tired,3,excited,5,,,christian,3,lonely,2,safe,3,,,,,,,faithful,5,weak,2,proud,4,fat,2,lonely,4,bright,1,,,dark,2,wicked,2,strong,4,sexy,1,rough,2,healthy,2,deadly,4,,,busy,4,,,busy,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,664572
